Rank,Title,Score,Type,Episodes,Aired_Date,Members
1,Sousou no Frieren,9.25,TV,28,Sep 2023 - Mar 2024,"1,512,841 members"
2,Fullmetal Alchemist: Brotherhood,9.11,TV,64,Apr 2009 - Jul 2010,"3,733,561 members"
3,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,9.11,TV,19,Apr 2026 - Sep 2026,"326,531 members"
4,Steel Ball Run: JoJo no Kimyou na Bouken,9.08,ONA,?,Mar 2026 -,"232,906 members"
5,Bleach: Sennen Kessen-hen - Kashin-tan,9.07,TV,10,Jul 2026 -,"162,216 members"
6,Steins;Gate,9.07,TV,24,Apr 2011 - Sep 2011,"2,850,604 members"
7,Chainsaw Man Movie: Reze-hen,9.05,Movie,1,Sep 2025 - Sep 2025,"547,116 members"
8,Gintama: The Final,9.05,Movie,1,Jan 2021 - Jan 2021,"188,332 members"
9,Gintama°,9.05,TV,51,Apr 2015 - Mar 2016,"699,105 members"
10,Shingeki no Kyojin Season 3 Part 2,9.05,TV,10,Apr 2019 - Jul 2019,"2,637,503 members"
11,Hunter x Hunter (2011),9.03,TV,148,Oct 2011 - Sep 2014,"3,239,515 members"
12,Ginga Eiyuu Densetsu,9.02,OVA,110,Jan 1988 - Mar 1997,"369,574 members"
13,Gintama',9.02,TV,51,Apr 2011 - Mar 2012,"622,201 members"
14,Gintama': Enchousen,9.02,TV,13,Oct 2012 - Mar 2013,"362,231 members"
15,One Piece Fan Letter,9.00,TV Special,1,Oct 2024 - Oct 2024,"165,780 members"
16,Bleach: Sennen Kessen-hen,8.98,TV,13,Oct 2022 - Dec 2022,"730,535 members"
17,Gintama.,8.98,TV,12,Jan 2017 - Mar 2017,"353,078 members"
18,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,TV,13,Apr 2022 - Jun 2022,"1,136,950 members"
19,Clannad: After Story,8.93,TV,24,Oct 2008 - Mar 2009,"1,300,355 members"
20,Fruits Basket: The Final,8.93,TV,13,Apr 2021 - Jun 2021,"574,021 members"
21,Gintama,8.93,TV,201,Apr 2006 - Mar 2010,"1,168,392 members"
22,Koe no Katachi,8.93,Movie,1,Sep 2016 - Sep 2016,"2,659,927 members"
23,Code Geass: Hangyaku no Lelouch R2,8.92,TV,25,Apr 2008 - Sep 2008,"1,982,252 members"
24,Kusuriya no Hitorigoto 2nd Season,8.90,TV,24,Jan 2025 - Jul 2025,"548,009 members"
25,Monster,8.90,TV,74,Apr 2004 - Sep 2005,"1,359,723 members"
26,3-gatsu no Lion 2nd Season,8.89,TV,22,Oct 2017 - Mar 2018,"443,647 members"
27,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,Movie,1,Jul 2013 - Jul 2013,"264,975 members"
28,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,14,Jul 2018 - Oct 2018,"229,554 members"
29,Owarimonogatari 2nd Season,8.86,TV Special,7,Aug 2017 - Aug 2017,"442,491 members"
30,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,TV Special,2,Mar 2023 - Nov 2023,"895,185 members"
31,Kingdom 3rd Season,8.85,TV,26,Apr 2020 - Oct 2021,"137,650 members"
32,Kusuriya no Hitorigoto,8.84,TV,24,Oct 2023 - Mar 2024,"895,027 members"
33,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.84,Movie,1,Nov 2024 - Nov 2024,"100,117 members"
34,Sousou no Frieren 2nd Season,8.84,TV,10,Jan 2026 - Mar 2026,"608,691 members"
35,Vinland Saga Season 2,8.83,TV,24,Jan 2023 - Jun 2023,"889,642 members"
36,Violet Evergarden Movie,8.83,Movie,1,Sep 2020 - Sep 2020,"745,106 members"
37,Kimi no Na wa.,8.82,Movie,1,Aug 2016 - Aug 2016,"3,068,045 members"
38,Ashita no Joe 2,8.81,TV,47,Oct 1980 - Aug 1981,"70,371 members"
39,Gintama Movie 3: Yoshiwara Daienjou,8.81,Movie,1,Feb 2026 - Feb 2026,"15,740 members"
